Dependency=ASHRAE IECC Climate Zone 2004 - Sub-CZ Split	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	Option=Void	source_count	source_weight	sampling_probability
2B	Single-Family Attached	2500-3999	Central AC	0	0	0	0.0213675	0.0190493	0.959583	0	0	9.26066	88830	3.64368e-05
2B	Single-Family Attached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.83996	25209	2.53629e-05
2B	Single-Family Attached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
2B	Single-Family Attached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	2.83996	3052.22	1.31198e-06
2B	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0	0.310024	2831.32	6.43878e-06
2B	Single-Family Attached	2500-3999	Room AC	0	0.337067	0.230212	0.311956	0	0.120766	0	0	0.366948	3015.49	2.36907e-06
2B	Single-Family Attached	4000+	Central AC	0	0	0	0.0200709	0.0196066	0.960322	0	0	1.87026	18101.5	9.03421e-06
2B	Single-Family Attached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.489507	3710.42	7.301e-06
2B	Single-Family Attached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
2B	Single-Family Attached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.489507	449.244	2.79854e-08
2B	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0	0.0366754	323.454	1.30931e-06
2B	Single-Family Attached	4000+	Room AC	0	0.341044	0.154998	0.309404	0	0.194554	0	0	0.0339741	298.505	4.95181e-07
2B	Single-Family Detached	0-1499	Central AC	0	0	0	0.00230405	0.00432574	0.99337	0	0	28.356	299655	0.00177972
2B	Single-Family Detached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	9.44418	90654	0.000933836
2B	Single-Family Detached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
2B	Single-Family Detached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	9.44418	10976	7.66218e-05
2B	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	0	3.79772	38778.3	0.00020501
2B	Single-Family Detached	0-1499	Room AC	0	0.116563	0.198531	0.331469	0	0.353438	0	0	5.84524	55485.2	0.000250469
2B	Single-Family Detached	1500-2499	Central AC	0	0	0	0.00903227	0.0105493	0.980418	0	0	19.9229	197617	0.00322193
2B	Single-Family Detached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	10.8939	95951.9	0.00178496
2B	Single-Family Detached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
2B	Single-Family Detached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	10.8939	11617.5	7.69216e-05
2B	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	0	1.00752	9402.43	0.000311783
2B	Single-Family Detached	1500-2499	Room AC	0	0.215779	0.262909	0.352064	0	0.169248	0	0	0.860203	7238.71	0.000253254
2B	Single-Family Detached	2500-3999	Central AC	0	0	0	0.0213675	0.0190493	0.959583	0	0	9.26066	88830	0.00168325
2B	Single-Family Detached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.83996	25209	0.000894465
2B	Single-Family Detached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
2B	Single-Family Detached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	2.83996	3052.22	1.92998e-05
2B	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0	0.310024	2831.32	0.000140407
2B	Single-Family Detached	2500-3999	Room AC	0	0.337067	0.230212	0.311956	0	0.120766	0	0	0.366948	3015.49	8.46414e-05
2B	Single-Family Detached	4000+	Central AC	0	0	0	0.0200709	0.0196066	0.960322	0	0	1.87026	18101.5	0.000563805
2B	Single-Family Detached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.489507	3710.42	0.000261431
2B	Single-Family Detached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
2B	Single-Family Detached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.489507	449.244	3.33942e-06
2B	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0	0.0366754	323.454	3.96902e-05
2B	Single-Family Detached	4000+	Room AC	0	0.341044	0.154998	0.309404	0	0.194554	0	0	0.0339741	298.505	2.09521e-05
3A	Mobile Home	0-1499	Central AC	0	0	0	0.000186561	0.00489491	0.994919	0	0	1.04441	33055.7	0.00385933
3A	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.726429	24272.5	0.0037582
3A	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.726429	2938.83	6.17616e-05
3A	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	0.127829	4161.7	0.000572207
3A	Mobile Home	0-1499	Room AC	0	0.127914	0.119717	0.551219	0.00862807	0.192522	0	0	1.27719	41493.8	0.00236217
3A	Mobile Home	1500-2499	Central AC	0	0	0	0.000735313	0.012002	0.987263	0	0	0.733802	21799.7	0.00124996
3A	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.837943	25691	0.00124175
3A	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.837943	3110.57	1.72741e-05
3A	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.0339124	1009.07	0.000192519
3A	Mobile Home	1500-2499	Room AC	0	0.216083	0.144673	0.534264	0.0208508	0.0841287	0	0	0.187955	5413.36	0.000659239
3A	Mobile Home	2500-3999	Central AC	0	0	0	0.00175764	0.0218981	0.976344	0	0	0.341089	9799.06	9.08417e-05
3A	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.218445	6749.7	0.000101093
3A	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.218445	817.228	1.11279e-06
3A	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.0104352	303.858	1.73628e-05
3A	Mobile Home	2500-3999	Room AC	0	0.330971	0.124215	0.464185	0.0217692	0.0588609	0	0	0.0801784	2255.09	4.7418e-05
3A	Mobile Home	4000+	Central AC	0	0	0	0.00164886	0.0225099	0.975841	0	0	0.0688856	1996.82	8.65778e-05
3A	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0376519	993.461	5.40663e-05
3A	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Mobile Home	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0376519	120.285	1.6591e-07
3A	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.00123447	34.7131	9.18075e-06
3A	Mobile Home	4000+	Room AC	0	0.338764	0.0846027	0.465733	0.0149738	0.0959263	0	0	0.00742338	223.233	6.03907e-05
3A	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.000421525	0.00205807	0.99752	0	0	11.527	139677	0.00301621
3A	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.917958	11889.2	0.00187284
3A	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 2 - 4 Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.917958	1439.5	9.06697e-05
3A	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	0	2.45858	31208.4	0.000418181
3A	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.101306	0.255218	0.382253	0.0334521	0.227771	0	0	14.4752	187806	0.000560405
3A	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.00166715	0.0050637	0.993269	0	0	8.09889	92114.8	0.000307362
3A	Multi-Family with 2 - 4 Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.05887	12584	0.000210061
3A	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.05887	1523.62	1.29248e-05
3A	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	0.652251	7566.99	4.00892e-05
3A	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.166082	0.299314	0.359557	0.0784542	0.0965933	0	0	2.13021	24501.6	5.09052e-05
3A	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.004003	0.00928061	0.986716	0	0	3.76456	41406.1	3.07459e-05
3A	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276039	3306.14	1.7003e-05
3A	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276039	400.296	1.32911e-06
3A	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	0.200704	2278.62	3.81758e-06
3A	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.261374	0.264049	0.320978	0.0841605	0.0694388	0	0	0.908711	10206.8	7.66694e-06
3A	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.00375713	0.00954463	0.986698	0	0	0.760282	8437.6	4.60597e-05
3A	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0475792	486.618	2.6789e-05
3A	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0475792	58.9179	8.99796e-07
3A	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.0237431	260.313	5.91991e-06
3A	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.284462	0.191226	0.342431	0.0615534	0.120328	0	0	0.0841337	1010.38	1.58847e-05
3A	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.000421525	0.00205807	0.99752	0	0	11.527	139677	0.00940971
3A	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.917958	11889.2	0.00598298
3A	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.917958	1439.5	0.000260132
3A	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	2.45858	31208.4	0.00118219
3A	Multi-Family with 5+ Units	0-1499	Room AC	0	0.101306	0.255218	0.382253	0.0334521	0.227771	0	0	14.4752	187806	0.00114577
3A	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.00166715	0.0050637	0.993269	0	0	8.09889	92114.8	0.000710097
3A	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.05887	12584	0.000410828
3A	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.05887	1523.62	2.22043e-05
3A	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0	0.652251	7566.99	8.40737e-05
3A	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.166082	0.299314	0.359557	0.0784542	0.0965933	0	0	2.13021	24501.6	6.67444e-05
3A	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.004003	0.00928061	0.986716	0	0	3.76456	41406.1	4.46209e-05
3A	Multi-Family with 5+ Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276039	3306.14	2.47266e-05
3A	Multi-Family with 5+ Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 5+ Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276039	400.296	1.24151e-06
3A	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0	0.200704	2278.62	5.97478e-06
3A	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.261374	0.264049	0.320978	0.0841605	0.0694388	0	0	0.908711	10206.8	3.10852e-06
3A	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.00375713	0.00954463	0.986698	0	0	0.760282	8437.6	3.89398e-05
3A	Multi-Family with 5+ Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0475792	486.618	3.30122e-05
3A	Multi-Family with 5+ Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Multi-Family with 5+ Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0475792	58.9179	1.94124e-06
3A	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0	0.0237431	260.313	7.13311e-06
3A	Multi-Family with 5+ Units	4000+	Room AC	0	0.284462	0.191226	0.342431	0.0615534	0.120328	0	0	0.0841337	1010.38	8.32057e-06
3A	Single-Family Attached	0-1499	Central AC	0	0	0	0.00480067	0.0122118	0.982988	0	0	199.392	2.20438e+06	0.00113679
3A	Single-Family Attached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	36.4276	419966	0.000521729
3A	Single-Family Attached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Attached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	36.4276	50847.9	1.54131e-05
3A	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	0	9.64038	109276	6.69775e-05
3A	Single-Family Attached	0-1499	Room AC	0	0.213487	0.225017	0.392388	0.0579627	0.111146	0	0	37.1173	447596	0.000164639
3A	Single-Family Attached	1500-2499	Central AC	0	0	0	0.0184727	0.0292324	0.952295	0	0	140.093	1.45375e+06	0.000909488
3A	Single-Family Attached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	42.0195	444509	0.000395746
3A	Single-Family Attached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Attached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	42.0195	53819.5	1.09e-05
3A	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	0	2.55755	26495.7	4.99714e-05
3A	Single-Family Attached	1500-2499	Room AC	0	0.300153	0.226315	0.316529	0.11658	0.0404226	0	0	5.46229	58394.3	8.34704e-05
3A	Single-Family Attached	2500-3999	Central AC	0	0	0	0.0424879	0.0513212	0.906191	0	0	65.1186	653469	0.000158599
3A	Single-Family Attached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9541	116784	6.9941e-05
3A	Single-Family Attached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Attached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9541	14139.8	1.64019e-06
3A	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0	0.786984	7978.56	1.02695e-05
3A	Single-Family Attached	2500-3999	Room AC	0	0.426057	0.180074	0.254862	0.112797	0.0262097	0	0	2.33012	24325.8	1.69496e-05
3A	Single-Family Attached	4000+	Central AC	0	0	0	0.0399248	0.0528428	0.907232	0	0	13.1512	133162	3.39194e-05
3A	Single-Family Attached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.8881	17189	1.4306e-05
3A	Single-Family Attached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Attached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.8881	2081.18	2.58203e-07
3A	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0	0.0930992	911.481	1.70321e-06
3A	Single-Family Attached	4000+	Room AC	0	0.46653	0.13121	0.273561	0.083003	0.0456959	0	0	0.215736	2408.03	3.70658e-06
3A	Single-Family Detached	0-1499	Central AC	0	0	0	0.00480067	0.0122118	0.982988	0	0	199.392	2.20438e+06	0.0177745
3A	Single-Family Detached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	36.4276	419966	0.00791813
3A	Single-Family Detached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Detached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	36.4276	50847.9	0.000258503
3A	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	0	9.64038	109276	0.000879678
3A	Single-Family Detached	0-1499	Room AC	0	0.213487	0.225017	0.392388	0.0579627	0.111146	0	0	37.1173	447596	0.00343346
3A	Single-Family Detached	1500-2499	Central AC	0	0	0	0.0184727	0.0292324	0.952295	0	0	140.093	1.45375e+06	0.0233457
3A	Single-Family Detached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	42.0195	444509	0.0107704
3A	Single-Family Detached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Detached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	42.0195	53819.5	0.000292202
3A	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	0	2.55755	26495.7	0.000996932
3A	Single-Family Detached	1500-2499	Room AC	0	0.300153	0.226315	0.316529	0.11658	0.0404226	0	0	5.46229	58394.3	0.00298773
3A	Single-Family Detached	2500-3999	Central AC	0	0	0	0.0424879	0.0513212	0.906191	0	0	65.1186	653469	0.0101206
3A	Single-Family Detached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9541	116784	0.00479014
3A	Single-Family Detached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Detached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9541	14139.8	0.000104122
3A	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0	0.786984	7978.56	0.000381501
3A	Single-Family Detached	2500-3999	Room AC	0	0.426057	0.180074	0.254862	0.112797	0.0262097	0	0	2.33012	24325.8	0.000948395
3A	Single-Family Detached	4000+	Central AC	0	0	0	0.0399248	0.0528428	0.907232	0	0	13.1512	133162	0.00232227
3A	Single-Family Detached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.8881	17189	0.00111647
3A	Single-Family Detached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3A	Single-Family Detached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.8881	2081.18	1.86565e-05
3A	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0	0.0930992	911.481	8.50571e-05
3A	Single-Family Detached	4000+	Room AC	0	0.46653	0.13121	0.273561	0.083003	0.0456959	0	0	0.215736	2408.03	0.000216978
3B	Mobile Home	0-1499	Central AC	0	0	0	0.000380352	0.00993895	0.989681	0	0	0.924174	20371.5	0.00165529
3B	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.219082	4601.58	0.000322887
3B	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.219082	557.141	2.96816e-05
3B	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	1.23568	25978	0.000593458
3B	Mobile Home	0-1499	Room AC	0	0.145103	0.0909872	0.243662	0.0015158	0.518732	0	0	2.35325	45217.1	0.000720713
3B	Mobile Home	1500-2499	Central AC	0	0	0	0.00148732	0.0241778	0.974335	0	0	0.649324	13434.7	0.000465873
3B	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.252713	4870.5	9.50136e-05
3B	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.252713	589.701	7.37496e-06
3B	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.32782	6298.79	0.000154626
3B	Mobile Home	1500-2499	Room AC	0	0.298352	0.133832	0.287454	0.00445861	0.275903	0	0	0.346311	5899.11	0.000158018
3B	Mobile Home	2500-3999	Central AC	0	0	0	0.0035157	0.0436236	0.952861	0	0	0.301822	6038.95	5.71668e-05
3B	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0658802	1279.61	1.16392e-05
3B	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0658802	154.93	1.30902e-06
3B	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.100874	1896.73	1.47724e-05
3B	Mobile Home	2500-3999	Room AC	0	0.448316	0.112728	0.245013	0.00456673	0.189376	0	0	0.14773	2457.44	1.11334e-05
3B	Mobile Home	4000+	Central AC	0	0	0	0.00329644	0.0448195	0.951884	0	0	0.0609552	1230.6	5.27068e-05
3B	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0113553	188.34	9.46832e-06
3B	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Mobile Home	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0113553	22.8035	8.39072e-07
3B	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.0119332	216.685	1.90572e-05
3B	Mobile Home	4000+	Room AC	0	0.419732	0.0702299	0.224862	0.00287327	0.282303	0	0	0.0136777	243.264	1.98147e-05
3B	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.000861704	0.00419012	0.994948	0	0	10.2	86080.2	0.00186769
3B	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276844	2253.95	0.000310191
3B	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Multi-Family with 2 - 4 Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276844	272.9	6.0429e-05
3B	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	0	23.7663	194808	0.00236354
3B	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.104715	0.176747	0.153968	0.00535511	0.559214	0	0	26.6708	204658	0.00155111
3B	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.00339305	0.010264	0.986343	0	0	7.16651	56768.4	0.000216173
3B	Multi-Family with 2 - 4 Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.319343	2385.67	3.47875e-05
3B	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.319343	288.848	6.53947e-06
3B	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	6.3051	47234.4	0.00020655
3B	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.221943	0.267985	0.187236	0.0162369	0.306599	0	0	3.92495	26700.1	0.000119935
3B	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.0080921	0.0186846	0.973223	0	0	3.33117	25517.7	3.61931e-05
3B	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.08325	626.777	5.30696e-06
3B	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.08325	75.8879	1.14752e-06
3B	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	1.94014	14223.5	5.17612e-05
3B	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.352577	0.238637	0.168721	0.017582	0.222483	0	0	1.67432	11122.7	3.22047e-05
3B	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.00759495	0.0192159	0.973189	0	0	0.672756	5199.91	1.00487e-05
3B	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0143493	92.2529	1.38876e-06
3B	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0143493	11.1696	2.79159e-07
3B	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.229516	1624.92	1.36399e-05
3B	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.3381	0.152276	0.158598	0.0113303	0.339696	0	0	0.155018	1101.04	8.82943e-06
3B	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.000861704	0.00419012	0.994948	0	0	10.2	86080.2	0.00694564
3B	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276844	2253.95	0.00171247
3B	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276844	272.9	0.000355419
3B	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	23.7663	194808	0.00541716
3B	Multi-Family with 5+ Units	0-1499	Room AC	0	0.104715	0.176747	0.153968	0.00535511	0.559214	0	0	26.6708	204658	0.00575864
3B	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.00339305	0.010264	0.986343	0	0	7.16651	56768.4	0.000250583
3B	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.319343	2385.67	6.40685e-05
3B	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
3B	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.319343	288.848	1.53355e-05
